1,3833859,barrow,us
2,3428576,san pedro,bz
3,262462,saint george,bm
4,3374210,sao filipe,cv
5,4224413,statesboro,us
6,2618795,klaksvik,fo
7,3576994,cockburn town,bs
8,5848280,kapaa,us
9,5339840,costa mesa,us
10,3372472,vila franca do campo,pt
11,5880568,bethel,us
12,5859699,college,us
13,2508813,adrar,dz
14,1260086,patna,gb
15,5882953,aklavik,ca
16,6167817,torbay,ca
17,3402648,carutapera,br
18,3450083,santa maria,cv
19,6185377,yellowknife,ca
20,6170031,tuktoyaktuk,ca
21,2511174,santa cruz de tenerife,es
22,1692193,san bartolome,es
23,3424607,tasiilaq,gl
24,4146901,bayonet point,us
25,2517679,fortuna,us
26,6149996,smithers,ca
27,6165406,thompson,ca
28,2288105,grand-lahou,ci
29,3985710,cabo san lucas,mx
30,3386177,trairi,br
31,3578278,vieux-habitants,gp
32,3382160,cayenne,gf
33,6111862,port hardy,ca
34,4676740,brownsville,us
35,5855927,hilo,us
36,6096551,pangnirtung,ca
37,1784874,houma,us
38,3831208,qaanaaq,gl
39,2067070,palmer,us
40,5919850,chapais,ca
41,5816605,yakima,us
42,5554428,ketchikan,us
43,3412093,vestmannaeyjar,is
44,3421765,nanortalik,gl
45,2267254,lagoa,pt
46,4407665,kodiak,us
47,5119251,greece,us
48,3418910,upernavik,gl
49,2516507,huescar,es
50,2270385,camacha,pt
51,2331140,labe,gn
52,3372707,ribeira grande,pt
53,4031637,lavrentiya,ru
54,3416888,grindavik,is
55,3421719,narsaq,gl
56,5067646,elwood,us
57,3684276,el doncello,co
58,2247684,ndioum,sn
59,2610343,vestmanna,fo
60,4020109,atuona,pf
61,2642214,morecambe,gb
62,5983720,iqaluit,ca
63,3374166,tarrafal,cv
64,5969785,hamilton,bm
65,3423146,ilulissat,gl
66,3996234,lazaro cardenas,mx
67,3652764,puerto ayora,ec
68,3413604,selfoss,is
69,4128894,rogers,us
70,2638419,scarborough,tt
71,4984075,alpena,us
72,3453439,ponta do sol,cv
73,2377457,nouadhibou,mr
74,6100069,peace river,ca
75,3491570,anchovy,jm
76,6113828,provost,ca
77,4021858,guerrero negro,mx
78,3530839,china,mx
79,5367788,lompoc,us
80,5592562,emmett,us
81,1855612,nara,ml
82,6160603,swift current,ca
83,2630299,hofn,is
84,5847411,kahului,us
85,3115824,muros,es
86,3645532,ciudad bolivar,ve
87,4459343,carrboro,us
88,2656946,ashington,gb
89,4267710,sitka,us
90,5861897,fairbanks,us
91,6089245,norman wells,ca
92,3570392,le vauclin,mq
93,5946768,edmonton,ca
94,3625710,upata,ve
95,5742974,north bend,us
96,4011743,constitucion,mx
97,3437029,san patricio,mx
98,2542997,marrakesh,ma
99,4031574,provideniya,ru
100,5711847,astoria,us
101,3421193,paamiut,gl
102,4167538,palm coast,us
103,3527413,graciano sanchez,mx
104,2450173,taoudenni,ml
105,2381334,atar,mr
106,3572189,freetown,ag
107,2335713,matagami,ca
108,5347335,fairfield,us
109,5962442,goderich,sl
110,4602982,ardmore,us
111,6144312,sept-iles,ca
112,5088597,lebanon,us
113,2303236,begoro,gh
114,2645525,kincardine,ca
115,3854604,alamos,mx
116,2633274,akureyri,is
117,5836068,rawlins,us
118,2419992,kankan,gn
119,4333811,morgan city,us
120,3526923,huichapan,mx
121,2294915,takoradi,gh
122,6176823,waterloo,sl
123,1714733,dingle,ie
124,3572906,andros town,bs
125,4981710,van buren,us
126,2374583,bubaque,gw
127,2246901,oussouye,sn
128,3652758,puerto baquerizo moreno,ec
129,3981460,coahuayana,mx
130,4149959,cape canaveral,us
131,3374083,bathsheba,bb
132,3174050,mantua,cu
133,5393052,santa cruz,cr
134,5380420,pacifica,us
135,5688789,dickinson,us
136,5380437,pacific grove,us
137,2069194,jamestown,us
138,3491161,bull savanna,jm
139,3421982,maniitsoq,gl
140,5554072,juneau,us
141,5383559,placerville,us
142,3571913,marsh harbour,bs
143,4002745,pueblo nuevo,mx
144,5954718,flin flon,ca
145,3422683,kangaatsiaq,gl
146,6322184,porto novo,cv
147,2510542,telde,es
148,2640967,omagh,gb
149,5972762,hay river,ca
150,3379316,lethem,gy
151,5949493,espanola,us
152,5710360,winnemucca,us
153,5768233,rapid city,us
154,3515369,tlatenchi,mx
155,4732862,nome,us
156,3582228,dangriga,bz
157,4031742,egvekinot,ru
158,3594143,la reforma,mx
159,4468525,graham,us
160,3572375,freeport,us
161,5354943,half moon bay,us
162,3393692,itarema,br
163,2160063,codrington,ag
164,2460954,araouane,ml
165,2553604,casablanca,ma
166,3517970,pochutla,mx
167,4391812,independence,us
168,6171633,ucluelet,ca
169,5924351,clyde river,ca
170,4173838,spring hill,us
171,5935804,dawson creek,ca
172,3603157,puerto lempira,hn
173,3947322,la libertad,sv
174,3515195,totolapan,mx
175,4755280,danville,us
176,2648341,golspie,gb
177,5606187,saint anthony,ca
178,3372760,praia da vitoria,pt
179,6164499,the pas,ca
180,2252606,bakel,sn
181,3377301,mabaruma,gy
182,6065867,marathon,ca
183,2964405,ennis,us
184,3608828,iralaya,hn
